Rank,Position,Name,Team,Fantasy Points,Fantasy Points per Game
1,WR,Justin Jefferson,MIN,348.5,22.4
2,TE,Travis Kelce,KC,304.6,18.6
3,WR,A.J. Brown,PHI,300.6,20.1
4,RB,Christian McCaffrey,SF,296.6,18.8
5,WR,Tyreek Hill,MIA,293.0,20.1
6,RB,Bijan Robinson,ATL,289.2,17.0
7,WR,Ja'Marr Chase,CIN,287.9,19.7
8,RB,Austin Ekeler,LAC,288.2,20.3
9,RB,Josh Jacobs,LV,284.9,20.4
10,WR,Amon-Ra St. Brown,DET,277.7,17.4
11,WR,CeeDee Lamb,DAL,269.5,18.5
12,RB,Jonathan Taylor,IND,265.7,18.2
13,RB,J.K. Dobbins,BAL,264.5,16.2
14,WR,Michael Pittman Jr.,IND,260.8,15.3
15,WR,DK Metcalf,SEA,259.3,15.3
16,WR,Stefon Diggs,BUF,259.2,16.1
17,RB,Tony Pollard,DAL,260.1,16.7
18,WR,Jaylen Waddle,MIA,259.1,16.0
19,RB,Saquon Barkley,NYG,259.7,17.8
20,WR,Marquise Brown,ARI,255.9,17.5
21,WR,Cooper Kupp,LAR,253.1,16.3
22,WR,Davante Adams,LV,251.6,16.8
23,RB,Kenneth Walker III,SEA,245.1,14.4
24,RB,Derrick Henry,TEN,233.5,14.4
25,RB,Jahmyr Gibbs,DET,231.0,13.6
26,WR,DeVonta Smith,PHI,229.3,15.7
27,RB,Breece Hall,NYJ,226.3,15.7
28,WR,Amari Cooper,CLE,224.8,14.6
29,WR,Christian Kirk,JAC,223.8,14.3
30,WR,DJ Moore,CHI,223.7,13.2
31,RB,Nick Chubb,CLE,223.8,14.8
32,WR,Tee Higgins,CIN,222.5,15.3
33,RB,James Cook,BUF,223.3,13.8
34,RB,Alexander Mattison,MIN,219.5,13.5
35,WR,Chris Godwin,TB,217.3,15.0
36,WR,Zay Flowers,BAL,217.3,12.8
37,RB,D'Andre Swift,PHI,216.6,14.8
38,WR,Garrett Wilson,NYJ,214.5,13.3
39,WR,Chris Olave,NO,215.2,13.9
40,RB,Rhamondre Stevenson,NE,214.5,14.7
41,RB,Travis Etienne Jr.,JAC,211.8,12.5
42,WR,Jerry Jeudy,DEN,208.2,14.2
43,WR,Brandon Aiyuk,SF,205.3,14.1
44,WR,Gabe Davis,BUF,204.7,12.0
45,RB,Joe Mixon,CIN,204.1,13.8
46,WR,Zay Jones,JAC,197.3,12.3
47,WR,Rashee Rice,KC,198.2,11.7
48,WR,Terry McLaurin,WAS,198.0,13.5
49,WR,Jakobi Meyers,LV,197.0,13.6
50,RB,Alvin Kamara,NO,197.4,12.9
51,RB,Khalil Herbert,CHI,191.9,13.1
52,WR,Olamide Zaccheaus,PHI,190.0,11.3
53,RB,Isiah Pacheco,KC,188.5,13.9
54,TE,Mark Andrews,BAL,186.2,11.9
55,WR,Mike Evans,TB,186.5,12.8
56,WR,Jordan Addison,MIN,182.5,10.7
57,WR,Jaxon Smith-Njigba,SEA,180.7,10.6
