Rank,Position,Name,Team,Fantasy Points,Fantasy Points per Game
1,TE,Travis Kelce,KC,304.6,18.6
2,TE,Mark Andrews,BAL,186.2,11.9
3,TE,T.J. Hockenson,MIN,179.6,11.9
4,TE,George Kittle,SF,174.3,12.8
5,TE,Dallas Goedert,PHI,174.2,11.9
6,TE,Pat Freiermuth,PIT,170.2,11.7
7,TE,Evan Engram,JAC,155.3,9.8
8,TE,Dalton Kincaid,BUF,149.5,8.8
9,TE,David Njoku,CLE,146.6,9.8
10,TE,Dalton Schultz,HOU,146.4,9.2
11,TE,Tyler Higbee,LAR,139.9,9.0
12,TE,Gerald Everett,LAC,140.2,8.7
13,TE,Irv Smith Jr.,CIN,138.4,8.1
14,TE,Zach Ertz,ARI,135.1,10.6
15,TE,Cole Kmet,CHI,132.9,8.2
16,TE,Juwan Johnson,NO,132.9,8.0
17,TE,Darren Waller,NYG,129.8,9.0
18,TE,Luke Musgrave,GB,124.1,7.3
19,TE,Michael Mayer,LV,123.1,7.2
20,TE,Greg Dulcich,DEN,120.2,8.2
21,TE,Tyler Conklin,NYJ,120.5,7.3
22,TE,Jelani Woods,IND,106.5,7.3
23,TE,Noah Fant,SEA,106.1,6.9
24,TE,Kyle Pitts,ATL,104.9,7.2
25,TE,Taysom Hill,NO,103.5,7.6
26,TE,Hunter Henry,NE,101.3,6.2
27,TE,Foster Moreau,NO,96.9,5.9
28,TE,Chigoziem Okonkwo,TEN,91.6,5.7
29,TE,Mike Gesicki,NE,90.4,5.5
30,TE,MyCole Pruitt,ATL,88.8,5.2
31,TE,Cade Otton,TB,89.0,5.5
32,TE,Will Dissly,SEA,88.6,5.5
33,TE,Sam LaPorta,DET,79.1,4.7
34,TE,Colby Parkinson,SEA,79.8,4.7
35,TE,Donald Parham Jr.,LAC,78.1,4.6
36,TE,Albert Okwuegbunam,DEN,78.3,5.0
37,TE,Logan Thomas,WAS,77.3,5.6
38,TE,Teagan Quitoriano,HOU,69.9,4.1
39,TE,Eric Saubert,MIA,70.2,4.1
40,TE,Trey McBride,ARI,67.2,4.9
41,TE,Noah Gray,KC,66.5,3.9
42,TE,Mo Alie-Cox,IND,62.5,3.8
43,TE,Jonnu Smith,ATL,57.6,4.1
44,TE,C.J. Uzomah,NYJ,54.6,3.8
45,TE,Peyton Hendershot,DAL,53.2,3.1
46,TE,Jody Fortson,KC,51.4,3.0
47,TE,John Bates,WAS,49.7,2.9
48,TE,Johnny Mundt,MIN,48.5,2.9
49,TE,Ian Thomas,CAR,47.0,2.8
50,TE,Brevin Jordan,HOU,43.8,2.8
51,TE,Durham Smythe,MIA,44.7,2.9
52,TE,Josiah Deguara,GB,42.3,2.6
53,TE,Jordan Akins,CLE,38.3,2.3
54,TE,Connor Heyward,PIT,38.5,2.3
55,TE,Josh Oliver,MIN,38.7,2.4
56,TE,Zach Gentry,PIT,37.1,2.2
57,TE,Dawson Knox,BUF,25.1,1.7
58,TE,Hayden Hurst,CAR,21.8,1.5
59,TE,Robert Tonyan,CHI,20.9,1.3
60,TE,Kylen Granson,IND,17.8,1.1
61,TE,Tommy Tremble,CAR,17.6,1.0
62,TE,Brock Wright,DET,18.2,1.1
63,TE,Austin Hooper,LV,17.3,1.1
64,TE,Adam Trautman,DEN,15.7,1.0
