Rank,Position,Name,Team,Fantasy Points,Fantasy Points per Game
1,WR,Justin Jefferson,MIN,348.5,22.4
2,WR,A.J. Brown,PHI,300.6,20.1
3,WR,Tyreek Hill,MIA,293.0,20.1
4,WR,Ja'Marr Chase,CIN,287.9,19.7
5,WR,Amon-Ra St. Brown,DET,277.7,17.4
6,WR,CeeDee Lamb,DAL,269.5,18.5
7,WR,Michael Pittman Jr.,IND,260.8,15.3
8,WR,DK Metcalf,SEA,259.3,15.3
9,WR,Jaylen Waddle,MIA,259.1,16.0
10,WR,Stefon Diggs,BUF,259.2,16.1
11,WR,Marquise Brown,ARI,255.9,17.5
12,WR,Cooper Kupp,LAR,253.1,16.3
13,WR,Davante Adams,LV,251.6,16.8
14,WR,DeVonta Smith,PHI,229.3,15.7
15,WR,Amari Cooper,CLE,224.8,14.6
16,WR,Christian Kirk,JAC,223.8,14.3
17,WR,DJ Moore,CHI,223.7,13.2
18,WR,Tee Higgins,CIN,222.5,15.3
19,WR,Chris Godwin,TB,217.3,15.0
20,WR,Zay Flowers,BAL,217.3,12.8
21,WR,Garrett Wilson,NYJ,214.5,13.3
22,WR,Chris Olave,NO,215.2,13.9
23,WR,Jerry Jeudy,DEN,208.2,14.2
24,WR,Brandon Aiyuk,SF,205.3,14.1
25,WR,Gabe Davis,BUF,204.7,12.0
26,WR,Zay Jones,JAC,197.3,12.3
27,WR,Rashee Rice,KC,198.2,11.7
28,WR,Terry McLaurin,WAS,198.0,13.5
29,WR,Jakobi Meyers,LV,197.0,13.6
30,WR,Olamide Zaccheaus,PHI,190.0,11.3
31,WR,Mike Evans,TB,186.5,12.8
32,WR,Jordan Addison,MIN,182.5,10.7
33,WR,Jaxon Smith-Njigba,SEA,180.7,10.6
34,WR,Deebo Samuel,SF,181.7,13.3
35,WR,Christian Watson,GB,176.8,12.2
36,WR,Drake London,ATL,173.2,11.2
37,WR,Jahan Dotson,WAS,172.8,11.1
38,WR,Michael Thomas,NO,167.4,12.3
39,WR,Nico Collins,HOU,164.9,12.1
40,WR,DeAndre Hopkins,TEN,163.5,12.0
41,WR,George Pickens,PIT,158.9,10.1
42,WR,Tyler Boyd,CIN,158.4,10.2
43,WR,Jalin Hyatt,NYG,159.2,9.4
44,WR,Rondale Moore,ARI,157.8,11.4
45,WR,Allen Lazard,NYJ,157.4,10.2
46,WR,Donovan Peoples-Jones,CLE,155.7,10.0
47,WR,K.J. Osborn,MIN,156.3,10.3
48,WR,Diontae Johnson,PIT,154.4,10.4
49,WR,Courtland Sutton,DEN,154.1,10.6
50,WR,Curtis Samuel,WAS,153.1,10.5
51,WR,JuJu Smith-Schuster,NE,151.0,11.1
52,WR,Devin Duvernay,BAL,148.4,8.8
53,WR,Josh Reynolds,DET,145.5,8.7
54,WR,Russell Gage,TB,141.9,9.5
55,WR,Tyler Lockett,SEA,140.0,9.0
56,WR,Mike Williams,LAC,138.8,9.5
57,WR,Rashid Shaheed,NO,138.5,8.7
58,WR,Rashod Bateman,BAL,135.8,9.6
59,WR,Mack Hollins,ATL,134.7,8.1
60,WR,Isaiah Hodgins,NYG,133.0,8.1
61,WR,Joshua Palmer,LAC,129.5,7.6
62,WR,Quentin Johnston,LAC,130.3,7.7
63,WR,Romeo Doubs,GB,131.2,8.3
64,WR,Brandin Cooks,DAL,128.7,8.7
65,WR,Jayden Reed,GB,127.9,7.5
66,WR,Allen Robinson II,PIT,121.9,7.2
67,WR,Adam Thielen,CAR,122.3,8.0
68,WR,Keenan Allen,LAC,122.6,8.4
69,WR,Trenton Irwin,CIN,119.4,7.0
70,WR,Ben Skowronek,LAR,115.0,6.8
71,WR,Van Jefferson,LAR,114.4,7.9
72,WR,Darius Slayton,NYG,114.4,7.9
73,WR,Hunter Renfrow,LV,115.3,8.1
74,WR,Terrace Marshall Jr.,CAR,112.9,6.6
75,WR,DeVante Parker,NE,110.8,7.9
76,WR,Kalif Raymond,DET,110.9,6.6
77,WR,Alec Pierce,IND,105.9,7.3
78,WR,Greg Dortch,ARI,106.3,7.5
79,WR,Marquez Valdes-Scantling,KC,107.1,7.2
80,WR,Darnell Mooney,CHI,101.6,7.3
81,WR,Nick Westbrook-Ikhine,TEN,98.7,5.8
82,WR,Laviska Shenault Jr.,CAR,98.9,5.8
83,WR,Jauan Jennings,SF,96.9,5.8
84,WR,Demarcus Robinson,LAR,94.4,5.6
85,WR,Wan'Dale Robinson,NYG,93.9,6.3
86,WR,Kadarius Toney,KC,93.2,6.9
87,WR,Treylon Burks,TEN,90.4,5.8
88,WR,Kendrick Bourne,NE,89.3,5.5
89,WR,Quez Watkins,PHI,88.4,5.3
90,WR,Jonathan Mingo,CAR,87.4,5.1
91,WR,Kendall Hinton,DEN,87.2,5.1
92,WR,Tutu Atwell,LAR,86.0,5.5
93,WR,Michael Gallup,DAL,85.6,5.3
94,WR,Samori Toure,GB,84.9,5.0
95,WR,Ashton Dulin,IND,81.2,4.8
96,WR,Tre'Quan Smith,NO,79.9,5.3
97,WR,Tyquan Thornton,NE,78.1,5.7
98,WR,Jamal Agnew,JAC,77.4,4.6
99,WR,Dezmon Patmon,BUF,74.8,4.4
100,WR,Sterling Shepard,NYG,73.1,5.8
101,WR,Chase Claypool,CHI,73.0,5.0
102,WR,Corey Davis,NYJ,72.0,5.3
103,WR,Jalen Nailor,MIN,69.9,4.1
104,WR,Velus Jones Jr.,CHI,69.5,4.1
105,WR,Shi Smith,CAR,66.2,3.9
106,WR,River Cracraft,MIA,66.3,3.9
107,WR,Equanimeous St. Brown,CHI,64.5,4.0
108,WR,Dante Pettis,CHI,63.1,3.8
109,WR,Lawrence Cager,NYG,61.1,3.6
110,WR,Dyami Brown,WAS,62.0,3.8
111,WR,Ray-Ray McCloud III,SF,58.1,3.4
112,WR,Justin Watson,KC,56.8,3.4
113,WR,Brandon Johnson,DEN,55.1,3.2
114,WR,Anthony Schwartz,CLE,52.6,3.1
115,WR,David Bell,CLE,53.5,3.1
116,WR,Khalil Shakir,BUF,54.4,3.3
117,WR,KhaDarel Hodge,ATL,51.3,3.0
118,WR,Jalen Guyton,LAC,50.0,2.9
119,WR,Kyle Philips,TEN,48.9,2.9
120,WR,Skyy Moore,KC,46.9,3.2
121,WR,Keelan Cole Sr.,LV,42.6,2.5
122,WR,Andre Baccellia,ARI,39.1,2.3
123,WR,Jameson Williams,DET,39.4,2.6
124,WR,Deven Thompkins,TB,36.7,2.2
125,WR,Jalen Virgil,DEN,37.6,2.2
126,WR,David Sills V,NYG,36.7,2.2
127,WR,Cedrick Wilson Jr.,MIA,34.5,2.0
128,WR,Simi Fehoko,DAL,30.6,1.8
129,WR,Dennis Houston,DAL,30.6,1.8
130,WR,Racey McMath,TEN,27.2,1.6
131,WR,Austin Trammell,LAR,28.0,1.6
132,WR,Mike Strachan,IND,25.2,1.5
133,WR,Jalen Reagor,MIN,25.6,1.6
134,WR,Cade Johnson,SEA,24.4,1.4
135,WR,Dee Eskridge,SEA,20.5,1.2
136,WR,Tylan Wallace,BAL,20.9,1.3
137,WR,Keith Kirkwood,NO,21.5,1.3
138,WR,Michael Woods II,CLE,19.1,1.1
139,WR,James Proche II,BAL,20.1,1.2
140,WR,Dax Milne,WAS,17.8,1.0
141,WR,Gunner Olszewski,PIT,16.1,0.9
142,WR,Tyrie Cleveland,PHI,16.3,1.0
143,WR,Tim Jones,JAC,14.6,0.9
144,WR,Trent Taylor,CIN,14.6,0.9
145,WR,Ihmir Smith-Marsette,KC,10.6,0.6
146,WR,Montrell Washington,DEN,8.5,0.5
147,WR,Danny Gray,SF,6.1,0.4
